Distributor Item code,Company Dscription
Desert Verde 600x600,PWJ 600X300-6 MONTE ELEGANT DIG - P
Dessert Pearl 1200x800,PWJ 800X400-3 OAK EMOTION IJ  -P
Dew Black Matt 600x600,PWJ 600X300-6 PARADISE WHITE DIG -P
Dew Grey 600x600,PWJ 800X400-3 ROCK DECOR-BROWN IJ- P
Dew Grey Matt 600x600,PWJ 800X400-3 ROCK DAMASK-GRIS IJ- P
Dg Cross Ochare,PWJ 800X400-3 ROCKFACE-BROWN IJ- P
Dona Bianco 450x300,PWJ 800X400-3 ROCKFACE-BRIGHT IJ- P
Dona Nero 450x300,PWJ 600X300-6 PETALIO VERNA HL DIG -P
Donapola 600x600,PWJ 600X300-6 RIO BRIGHT DIG-P
Dove Sheen Rasso 800x800,PWJ 800X400-3 PORPHIRY PEARL IJ  -P
Dover DK 450x300,PWJ 600X300-6 RIO DEEP DIG-P
Dover Floor 300x300,PWJ 800X400-3 ROCKFACE-GRIS IJ- P
Dover LT 450x300,PWJ 600X300-6 RIO MAGIC DIG-P
Drift Cotto 400x400,PWJ 600X300-6 VALENCIA DIG - P
Drift Mix 400x400,PWJ 800X400-3 SKY SEPAL IJ - P
Dyansty Liso Gold 1200x600,PWJ 600X300-6 VALENCIA SPAR HL DIG -P
Dyna AGL 300x300,PWJ 800X400-3 VENICE ROMANCE IJ - P
Dyna DK 600x300,PWJ 800X400-3 SKY IJ  -P
Dyna Floor 300x300,PWJ 600X300-6 WINGS PACIFIC HL DIG -P
Dyna Italiano,PVM 600X600-4 JET BLACK Po Uc-P
Dyna LT 600x300,PVM 600X600-4 MUSHROOM Po Uc-P
Dynas Beige 600x300,PVM 600X600-4 TERRACOTA Po Uc-P
Earth Beige 600x600,PVM 600X600-4 KOTA GREEN Po Uc-P
Earth Bruno 600x600,PVM 600X600-4 ASH GREYPo Uc-P
Earth Eclat 600x400,PVM 600X600-4 MANGO YELLOW PO UC  -P
Earth Gris 600x600,PGV 600X600-4 SAPHIRE NERO UP WH -P
Earth Ivory 600x600,PPS 1200X600-2 DYNASTY LISO GO PO 9MM-P
Earth Ochre 600x600,PGV 600X600-4 OXFORD GRIS UP WH -P
Earth Snow 600x600,PGV 600X600-4 SAPHIRE PEARL UP WH -P
Earth Span 600x400,PGV 800X800-2 EMPRESS SASSO IJ LP UC -P
Earth Steel Grey 600x600,PPS 1200X200-4 ANTIQUE RUST-SPLITSUPUC-P
Easel HDR 1200x600,PGV 600X600-4 DYNA IJ PO UC-P
Egypto Brown 600x600,PGV 600X600-4 SANDSTONE GRIS UP WH -P
Eleganza Decor 600x300,PPS 1200X600-2 ARIZONA LISO  PO UC9MM-P
Eleganza DK 600x300,PPS 1200X600-2 EASEL - HDR PO UC - P
Eleganza LT 600x300,PPS 1200X600-2 ERA PLANKS PO UC - P
Ellora Black 300x300,PPS 1200X200-4 EASEL SPLITS - HDR UPUC-P
Emola Decor 600x300,PGV 600X600-4 MIST GREY UP WH -P
Emola DK 600x300,PPS 1200X200-4 EASEL SPLITS-RASSO UPUC-P
Emola LT 600x300,PGV 600X600-4 DEW GREY MATT UP UC-P
Empeira Floor 300x300,PGV 600X600-4 AMAZE WHITE IJ PO UC-P
Empeira HL 450x300,PGV 600X600-4 DEW BLACK LP UC-P
Emperador 1200x600,PGV 800X800-2 LEGNO BROWN IJ LP UC-P
Emperador Ivory 600x300,PGV 800X800-2 DOVESHEEN LISO IJ PO UC -P
Emperador Quadra HL 600x300,PGV 800X800-2 CRESCENT WH LISO IJ POUC-P
Emperia Bright 450x300,PGV 800X800-2 LEGNO WHITE IJ LP UC-P
Emperia Deep 450x300,PGV 800X800-2 DOVESHEEN RASO IJ UP UC -P
Eritea DK 450x300,PGV 600X600-4 SABRO GRIS UP UC-P
Eritea Floor 300x300,PPS 1200X600-2 VOGUE ROMANO PO UC9MM-P
Eritea HL 450x300,PPS 1200X600-2 MOON WHITE PO UC - P
Eritea LT 450x300,PGV 600X600-4 MISMO MOON MATT UC-P
Espanya HL 450x300,PPS 1200X600-2 REGAL HDR PO UC9MM-P
Euro Empredor 1200x600,PGV 600X600-4 MISMO SAND IJ MATT UC-P
Exotic Decor Relief 600x300,PPS 1200X600-2 MODISH PLANKS  UP UC - P
Exotic White Relief 600x300,PPS 1200X600-2 OPUS LISO PO UC9MM-P
Fantasy Gold 1200x600,PPS 1200X200-4 REGAL SPLITS - HDR UPUC-P
Fiona Florina HL GY BK 600x300,PPS 1200X600-2 RICHMONTE LISO BG PO9MM-P
Flocept DK 300x300,PGV 800X800-2 STANCE LISO IJ PO UC -P
Flocept LT 300x300,PGV 600X600-4 MISMO MEDEN MATT UC-P
Floor Tiles 300x300,PGV 800X800-2 PERLATO SICILLIA IJ POUC-P
Floor Tiles 400x400,PPS 1200X600-2 METEOR FX -WHITE PO9MM-P
Florano LT 600x300,PPS 1200X600-2 RICHMONTE LISO WH PO9MM-P
Florence LT 450x300,PGV 800X800-2 PLUTON BR LISO IJ PO UC -P
Flow Mocha 1200x600,PPS 1200X600-2 METEOR FX -NERO PO UC - P
Fluence Beige 450x300,PGV 800X800-2 SOLITARE SASSO IJ LP UC-P
Fluence Choco 450x300,PPS 1200X600-2 TRAVIS LISO PO UC9MM-P
Flurry Dc,PGV 600X600-4 MOON WHITE IJ PO UC-P
Fontana HL 600x300,PVM 600X600-4 S&P GREY Po Uc -P
Fontana LT 600x300,PVM 600X600-4 S & P WHITE MATT PO UC -P
Frances GRN HL 450x300,PVM 600X600-4 S & P WHITE SA Po Uc-P
Frances GRN LT 450x300,PVM 600X600-4 S&P GREY SA Po Uc -P
Frost Dusk 1200x600,PVM 600X600-4 S & P WHITE Po Uc-P
Frost White 600x600,DFE 300x300-6(15mm)GREYRec -P
Galaxy Greek,DFE 247X122-30 POOL TILE GREEN(R)-P
Garnet Quadra 600x300,DFE 300x300-5(20mm)GREY Rec -P
Garnet Quadra HL 600x300,DFE 300x300-10 GREEN Rec - P
Gemma DK 450x300,DFE 400x400-5 (12MM) PLAIN IVORY -P
Gemma Floor 300x300,DFE 400x400-6 (10MM) PLAIN GREY -P
Gemma HL 450x300,DFE 200x100-30(12MM)GREY -P
Gemma LT 450x300,DFE 300x300-8(12mm) IVORY Rec -P
Glare Four 600X400,DFE 200x100-20 GREY (15MM)-P
Glass Glow Club 800x400,DFE 300x300-10 GREY Rec - P
Glenco Beige 600x300,DFE 200x100-30 (12MM) IVORY - P
Glenco Crema 600x300,DFE 200x100-20 (20mm)IVORY -P
Glenco HL 600x300,DFE 300x300-6(15mm)IVORY Rec -P
Glory 1200x800,DFE 200x100-20 GREY (20MM)-P
Golden Onyx 1200x600,DFE 300x300-8(12mm) GREY Rec -P
Gracia Bright 600x300,DFE 200x100-20 IVORY PLAIN (15MM)-P
Gracia Feature 800x400,DFE 247X122-30 POOL TILE GREEN(Q)-P
Graffiti Bright 450x300,DFE 300x300-5(20mm)IVORY Rec -P
Graffiti Deep 450x300,DFE 300x300-8(12mm) TERRACOTA Rec -P
Graffiti Floor 300x300,DFE 247X122-30 POOL TILE NEW BLUE(Q)-P
Graffiti HL 450x300,DFE 300x300-6(15mm)TERRACOTA Rec -P
Grain Magic HL 450x300,DFE 247X122-30 POOL TILE NEW BLUE(R)-P
Grainflow DK 450x300,DFE 247X122-30 POOL TILE YELLOW(P)-P
Grainflow Floor 300x300,DFE 247X122-30 POOL TILE YELLOW(Q)-P
Grainflow LT 450x300,DFE 247X122-30 POOL TILE WHITE(P)-P
Grande Traventino 600x300,DFE 200x100-30(12MM)TERRACOTA -P
Granilia Cobalt Blue 300x300,DFE 300x300-5 (20mm) TERRACOTTA -P
Graniti Feature 800x400,DFE 247X122-30POOL TILE ORIENT BLUE(P)-P
Graniti Mix 800x400,DFE 247X122-30 POOL TILE YELLOW(R)-P
Graniti White 800x400,DFE 247X122-30 POOL TILE WHITE(Q)-P
Grazia Plazma 1600x800,DFE 247X122-30POOL TILE ORIENT BLUE(Q)-P
Green Endura 10MM 300x300,DFE 200x100-20 TERRACOTA (15MM)-P
Greenland Quartz 600x600,DFE 200x100-20(20mm) TERRACOTA -P
Grey 300x200,DFE 247X122-30POOL TILE ORIENT BLUE(R)-P
Grey 300x300,DFE 300x300-8 CHECK GREY(12mm) Rec -P
Grey Endura 10MM 300x300,DFE 247X122-30 POOL TILE BLACK(Q)-P
Grey Endura 12MM 300x300,DFE 247X122-30 POOL TILE WHITE(R)-P
Grey Plus 10MM 300x300,DFE 247X122-30 POOL TILE DARK BLUE(Q)-P
Grey Plus 12MM 300x300,DFE 400x400-6 (10MM) CHECK GREY -P
Grid Line LT 450x300,DFE 247X122-30 POOL TILE DARK BLUE(R)-P
Gristone DK 600x300,DFE 300X300-8 (10 MM) DG PARX RUST-P
Gristone LT 600x300,DFE 300x300-6 (15mm) NEW TEK BT IVORY -P
Gritty Branco 16MM 600x600,DFE 300X300-8 (10 MM) DG CROSS CHALK-P
Gritty Crust 16MM 600x600,DFE 300X300-8 (10 MM) DG CROSS NERO-P
Heritage Floor 300x300,DFE 300X300-8 (10 MM) DG ROCKCEPT DK-P
Heritage HL 600x300,DFE 300X300-8 (10 MM) DG WARM BLD -P
Heritage LT 600x300,DFE 300X300-8 (10 MM) DG ROCKCEPT LT-P
Heritage Verde DK 600x300,DFE 300x300-6 (15MM) NEW TEK BT YEL - P
Imperial Bianco 1200x600,DFE 300X300-8 (10 MM) DG CROSS OCHARE-P
Imperial Pearl 600x300,DFE 300X300-8 (10 MM) DG CROSS WOOD-P
Impresso White 300x300,DFE 300X300-8 (10 MM) DG ROYAL MOSS-P
Indigo DK 600x300,DFE 300x300-6 (15mm) NEW TEK BT TERR -P
Indigo HL 600x300,DFE 300X300-8 (10 MM) DG ROYAL RUST-P
Indigo LT 600x300,DFE 300X300-8 (10 MM) DG FLOCEPT DK-P
Inflexion Blanco 600x300,DFE 300X300-8 (10MM) DG STONECEPT DK-P
Ingle Wood DK 600x300,DFE 300x300-6 (15mm) NEW TEK LN IVORY -P
Ingle Wood Floor 300x300,DFE 300X300-8 (10 MM) DG FLOCEPT DUAL-P
Ingle Wood HL 600x300,DFE 300X300-8 (10 MM) DG FLOCEPT FT-P
Ingle Wood LT 600x300,DFE 300X300-8 (10MM) DG STONECEPT DUAL-P
Inspira DK 450x300,DFE 300x300-8(12mm) CHECK IVORY Rec -P
Inspira Floor 300x300,DFE 400x400-6(10MM) COBBLE STONE GREY -P
Inspira HL 450x300,DFE 300X300-8 (10 MM) DG BLOCKS GRIS-P
Inspira LT 450x300,DFE 300X300-8 (10MM) DG STONECEPT FT-P
Ivory 12MM 300x300,DFE 300x300-6 (15MM) NEW TEK LN YEL - P
Ivory 20MM 300x300,DFE 300X300-8 (10 MM) DG BLOCKS OCHRE-P
Ivory 300x200,DFE 300X300-8 (10 MM) DG FLOCEPT LT-P
